,Stkcd,Year,Profit,Asset,ROA,Indcd,Industry,Type,TypeName,Conmee
0,1,2009,5030729000.0,587811000000.0,0.008558412,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
1,1,2010,6283816000.0,727207000000.0,0.008641028,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
2,1,2011,10390491000.0,1258180000000.0,0.00825835,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
3,1,2012,14754409000.0,1606540000000.0,0.009183966,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
4,1,2013,15231000000.0,1891740000000.0,0.008051318,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
5,1,2014,19802000000.0,2186460000000.0,0.009056649,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
6,1,2015,21865000000.0,2599060000000.0,0.008412656999999999,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
7,1,2016,22599000000.0,2953430000000.0,0.007651781,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
8,1,2017,23189000000.0,3248470000000.0,0.007138436999999999,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
9,1,2018,24818000000.0,3418590000000.0,0.007259718,J66,Monetary financial services,J,Finance,"Ping An Bank Co., Ltd."
10,2,2009,6430007539.0,137609000000.0,0.04672665,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
11,2,2010,8839610505.0,215638000000.0,0.040992824,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
12,2,2011,11599606212.0,296208000000.0,0.039160341,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
13,2,2012,15662588423.0,378802000000.0,0.041347692000000005,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
14,2,2013,18297549871.0,479205000000.0,0.038183136,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
15,2,2014,19287524028.0,519974000000.0,0.037093247,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
16,2,2015,25949438026.0,611296000000.0,0.042449874000000005,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
17,2,2016,28350255481.0,830674000000.0,0.03412922,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
18,2,2017,37208387330.0,1165350000000.0,0.031928938,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
19,2,2018,24860006686.0,1432220000000.0,0.017357673,K70,Real estate,K,Real Estate,"China Vanke Co., Ltd."
20,4,2009,4532533.64,230512058.7,0.019662892,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
21,4,2010,20201272.92,230512058.7,0.08763651300000001,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
22,4,2011,20201272.92,196307219.5,0.102906419,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
23,4,2012,9193067.82,201562278.5,0.045609069,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
24,4,2013,7814225.29,242152079.6,0.032269908,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
25,4,2014,15624813.56,338282581.1,0.046188644,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
26,4,2015,15624813.56,398673507.1,0.039192004,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
27,4,2016,39716316.22,463831852.9,0.085626539,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
28,4,2017,39716316.22,268844295.6,0.14772980800000002,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
29,4,2018,3181766.86,334707736.3,0.009506105,C27,Pharmaceutical ,C,Manufacturing,"Shenzhen Cau Technology Co., Ltd."
30,5,2009,10499719.92,1395564142.0,0.007523638000000001,N77,Ecological protection and environmental protection,N,Environment,Shenzhen Fountain Corporation
31,5,2010,24564275.1,1319203896.0,0.01862053,N77,Ecological protection and environmental protection,N,Environment,Shenzhen Fountain Corporation
32,5,2011,31174631.89,1296039056.0,0.024053775,N77,Ecological protection and environmental protection,N,Environment,Shenzhen Fountain Corporation
